Category	Class	Country	Dates	Race
Men Elite	1.2 - 1 day - Class 2	Denmark	28-Aug-22	RENT LIV Løbet Skive
Men Junior	1.1 - 1 day - Class 1	Belgium	28-Aug-22	La Route des Géants - Saint-Omer - Ieper
Women Elite	1.2 - 1 day - Class 2	Belgium	28-Aug-22	La Route des Géantes - Saint-Omer - Ieper
Men Elite	1.2 - 1 day - Class 2	Netherlands	28-Aug-22	Ronde van de Achterhoek
Men Junior	1.1 - 1 day - Class 1	Italy	28-Aug-22	Trofeo Emilio Paganessi
Men Elite	1.2 - 1 day - Class 2	Slovenia	28-Aug-22	CROATIA - SLOVENIA
Men Under 23	CN - National Championships	Belgium	28-Aug-22	National Road Championships - Belgium (MU23 - IRR)
Men Elite	1.UWT - 1 day - UCI WorldTour	France	28-Aug-22	Bretagne Classic - Ouest-France
Men Elite	CRTP - Pro Criterium	France	29-Aug-22	Guidon d'Or Hellemois
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Netherlands	30 Aug - 04 Sep 2022	Simac Ladies Tour
Men Elite	2.2 - Stages - Class 2	Turkey	31 Aug - 04 Sep 2022	Tour of Silk Road - Hero Cities
Men Under 23	2.2U - Stages - Class 2 - U23	Belgium	01 Sep - 03 Sep 2022	Flanders Tomorrow Tour
Men Junior	2.1 - Stages - Class 1	Italy	01 Sep - 04 Sep 2022	Giro Della Lunigiana
Men Elite	2.2 - Stages - Class 2	Italy	01 Sep - 04 Sep 2022	Giro della Regione Friuli Venezia Giulia
Men Junior	2.1 - Stages - Class 1	Switzerland	02 Sep - 04 Sep 2022	Grand Prix Rüebliland
Men Elite	1.Pro - 1 day - ProSeries	Belgium	3-Sep-22	Eurométropole Tour
Men Elite	1.2 - 1 day - Class 2	Norway	3-Sep-22	Lillehammer GP
Men Elite	2.2 - Stages - Class 2	Bulgaria	03 Sep - 04 Sep 2022	In the footsteps of the Romans
Men Elite	2.2 - Stages - Class 2	Antigua and Barbuda	03 Sep - 04 Sep 2022	Subway 3 - Stage Race
Men Elite	2.2 - Stages - Class 2	Indonesia	03 Sep - 07 Sep 2022	Tour de Singkarak
Men Elite	1.Pro - 1 day - ProSeries	United States	4-Sep-22	Maryland Cycling Classic, presented by UnitedHealthcare
Women Elite	1.1 - 1 day - Class 1	Belgium	4-Sep-22	Grote prijs Beerens
Men Elite	1.2 - 1 day - Class 2	Norway	4-Sep-22	Gylne Gutuer
Men Elite	1.1 - 1 day - Class 1	France	4-Sep-22	Tour du Doubs
Men Elite	2.Pro - Stages - ProSeries	United Kingdom	04 Sep - 11 Sep 2022	Tour of Britain
Men Elite	2.1 - Stages - Class 1	Romania	06 Sep - 11 Sep 2022	Turul Romaniei
Women Elite	2.1 - Stages - Class 1	France	06 Sep - 12 Sep 2022	Tour Cycliste Féminin International de l'Ardèche
Men Elite	2.2 - Stages - Class 2	Turkey	07 Sep - 11 Sep 2022	Tour of Mesopotamia
Men Elite	2.2 - Stages - Class 2	Czech Republic	08 Sep - 11 Sep 2022	Okolo jižních Čech / Tour of South Bohemia
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Spain	08 Sep - 11 Sep 2022	Ceratizit Challenge by La Vuelta
Men Elite	1.UWT - 1 day - UCI WorldTour	Canada	9-Sep-22	Grand Prix Cycliste de Québec
Men Elite	2.2 - Stages - Class 2	Japan	09 Sep - 11 Sep 2022	Tour de Hokkaido
Women Under 23	2.2 - Stages - Class 2	Netherlands	09 Sep - 11 Sep 2022	Watersley Womens Challenge
Women Junior	2.Ncup - Stages - Class Nations' Cup	Netherlands	09 Sep - 11 Sep 2022	Watersley Ladies Challenge
Men Elite	1.2 - 1 day - Class 2	France	10-Sep-22	A Travers les Hauts de France
Women Elite	1.2 - 1 day - Class 2	France	11-Sep-22	La Choralis Fourmies Féminine
Men Elite	1.Pro - 1 day - ProSeries	France	11-Sep-22	GP de Fourmies / La Voix du Nord
Men Junior	1.1 - 1 day - Class 1	Italy	11-Sep-22	Trofeo Buffoni
Men Elite	1.1 - 1 day - Class 1	Belgium	11-Sep-22	Antwerp Port Epic / Sels Trophy
Men Elite	1.2 - 1 day - Class 2	France	11-Sep-22	Grand Prix de la Somme Conseil Départemental 80
Men Elite	1.UWT - 1 day - UCI WorldTour	Canada	11-Sep-22	Grand Prix Cycliste de Montréal
Men Elite	2.Pro - Stages - ProSeries	Luxembourg	13 Sep - 17 Sep 2022	Skoda Tour Luxembourg
Men Elite	2.1 - Stages - Class 1	Slovakia	13 Sep - 17 Sep 2022	Okolo Slovenska / Tour de Slovaquie
Men Elite	1.Pro - 1 day - ProSeries	Belgium	14-Sep-22	Grand Prix de Wallonie
Men Elite	1.1 - 1 day - Class 1	Italy	14-Sep-22	Giro della Toscana - Memorial Alfredo Martini
Men Junior	2.1 - Stages - Class 1	Italy	14 Sep - 17 Sep 2022	Giro di Basilicata
Men Elite	1.Pro - 1 day - ProSeries	Italy	15-Sep-22	Coppa Sabatini - Gran Premio città di Peccioli
Men Elite	2.2 - Stages - Class 2	China	15 Sep - 17 Sep 2022	Tour of Xingtai
Men Elite	1.1 - 1 day - Class 1	Belgium	16-Sep-22	Kampioenschap van Vlaanderen
Women Elite	2.2 - Stages - Class 2	Belgium	16 Sep - 17 Sep 2022	AG TOUR DE LA SEMOIS
Men Elite	1.Pro - 1 day - ProSeries	Belgium	17-Sep-22	Primus Classic
Men Elite	1.1 - 1 day - Class 1	Italy	17-Sep-22	Memorial Marco Pantani
Men Junior	2.1 - Stages - Class 1	Belgium	17 Sep - 18 Sep 2022	Keizer der Juniores
Men Elite	1.1 - 1 day - Class 1	Belgium	18-Sep-22	Gooikse Pijl
Men Elite	1.1 - 1 day - Class 1	Italy	18-Sep-22	Trofeo Matteotti
Men Elite	1.1 - 1 day - Class 1	France	18-Sep-22	Grand Prix d'Isbergues - Pas de Calais
Women Elite	1.2 - 1 day - Class 2	France	18-Sep-22	Grand Prix International d'Isbergues - Pas de Calais Féminin
Men Elite	1.1 - 1 day - Class 1	Belgium	21-Sep-22	Omloop van het Houtland Middelkerke-Lichtervelde
Men Elite	CN - National Championships	Paraguay	23 Sep - 25 Sep 2022	National Road Championships - Paraguay
Men Elite	1.1 - 1 day - Class 1	France	25-Sep-22	Classique Paris-Chauny
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	27-Sep-22	Ruota d'Oro - GP Festa del Perdono
Men Elite	2.1 - Stages - Class 1	Croatia	27 Sep - 02 Oct 2022	Cro Race
Men Under 23	2.2U - Stages - Class 2 - U23	France	28 Sep - 02 Oct 2022	Ronde de l'Isard
Men Elite	CRTP - Pro Criterium	Japan	1-Oct-22	Oita Ikoinomichi Criterium
Men Elite	1.Pro - 1 day - ProSeries	Italy	1-Oct-22	Giro dell'Emilia
Women Elite	1.Pro - 1 day - ProSeries	Italy	1-Oct-22	Giro dell'Emilia Internazionale Donne Elite
Men Elite	2.2 - Stages - Class 2	Montenegro	01 Oct - 03 Oct 2022	Tour of Montenegro
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	2-Oct-22	Il Piccolo Lombardia
Men Elite	1.1 - 1 day - Class 1	Italy	2-Oct-22	Gran Premio Bruno Beghelli
Men Elite	1.1 - 1 day - Class 1	France	2-Oct-22	Tour de Vendée
Men Elite	1.2 - 1 day - Class 2	Japan	2-Oct-22	Oita Urban Classic
Men Elite	1.1 - 1 day - Class 1	Belgium	2-Oct-22	Famenne Ardenne Classic
Men Elite	1.Pro - 1 day - ProSeries	Germany	3-Oct-22	Sparkassen Münsterland Giro
Men Elite	1.Pro - 1 day - ProSeries	Italy	3-Oct-22	Coppa Bernocchi - GP BPM
Men Elite	1.1 - 1 day - Class 1	Belgium	4-Oct-22	Binche -  Chimay - Binche / Mémorial Frank Vandenbroucke
Women Elite	1.1 - 1 day - Class 1	Belgium	4-Oct-22	Binche Chimay Binche pour Dames
Women Elite	1.1 - 1 day - Class 1	Italy	4-Oct-22	Tre Valli Varesine Women's Race
Men Elite	1.Pro - 1 day - ProSeries	Italy	4-Oct-22	Tre Valli Varesine
Men Elite	2.2 - Stages - Class 2	Syria	04 Oct - 08 Oct 2022	International Syrian Tour
Women Elite	2.2 - Stages - Class 2	Syria	04 Oct - 08 Oct 2022	International Syrian Tour
Men Elite	2.2 - Stages - Class 2	China	05 Oct - 06 Oct 2022	Tour of Binzhou
Men Elite	1.Pro - 1 day - ProSeries	Italy	6-Oct-22	Gran Piemonte
Men Elite	1.1 - 1 day - Class 1	France	6-Oct-22	Paris - Bourges
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Switzerland	07 Oct - 09 Oct 2022	Tour de Romandie
Men Elite	1.UWT - 1 day - UCI WorldTour	Italy	8-Oct-22	Il Lombardia
Men Junior	2.1 - Stages - Class 1	Belgium	08 Oct - 09 Oct 2022	La Philippe Gilbert juniors
Men Elite	2.Pro - Stages - ProSeries	China	08 Oct - 11 Oct 2022	Tour of Taihu Lake
Men Elite	1.1 - 1 day - Class 1	Belgium	9-Oct-22	Memorial Rik Van Steenbergen / Kempen Classic
Men Under 23	1.2U - 1 day - Class 2 - U23	France	9-Oct-22	Paris - Tours Espoirs 
Men Elite	1.Pro - 1 day - ProSeries	France	9-Oct-22	Paris - Tours Elite
Men Elite	1.1 - 1 day - Class 1	Italy	10-Oct-22	Coppa Agostoni - Giro delle Brianze
Women Elite	2.2 - Stages - Class 2	China	10 Oct - 11 Oct 2022	Tour of Wenzhou Women's International Road Race
Men Elite	1.1 - 1 day - Class 1	Italy	12-Oct-22	Giro del Veneto
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	China	13 Oct - 15 Oct 2022	Tour of Chongming Island
Men Elite	2.UWT - Stages - UCI WorldTour	China	13 Oct - 18 Oct 2022	Gree-Tour of Guangxi
Men Elite	CRTP - Pro Criterium	Japan	15-Oct-22	Japan Cup Criterium
Men Under 23	1.2U - 1 day - Class 2 - U23	France	16-Oct-22	Chrono des Nations
Men Junior	1.1 - 1 day - Class 1	France	16-Oct-22	Chrono des Nations
Women Elite	1.1 - 1 day - Class 1	France	16-Oct-22	Chrono des Nations
Women Junior	1.1 - 1 day - Class 1	France	16-Oct-22	Chrono des Nations
Men Elite	1.1 - 1 day - Class 1	Italy	16-Oct-22	Veneto Classic
Men Elite	1.1 - 1 day - Class 1	France	16-Oct-22	Chrono des Nations
Men Elite	1.Pro - 1 day - ProSeries	Japan	16-Oct-22	Japan Cup Cycle Road Race
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	China	18-Oct-22	Tour of Guangxi
