Category	Class	Country	Dates	Race
Men Elite	1.2 - 1 day - Class 2	Netherlands	5-Mar-22	Craft Ster van Zwolle
Men Elite	1.2 - 1 day - Class 2	Turkey	5-Mar-22	Grand Prix Gazipasa
Women Elite	1.2 - 1 day - Class 2	Turkey	5-Mar-22	Grand Prix Gazipasa
Men Elite	1.2 - 1 day - Class 2	Kuwait	5-Mar-22	Liberation of Kuwait 2
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Italy	5-Mar-22	Strade Bianche
Men Elite	1.UWT - 1 day - UCI WorldTour	Italy	5-Mar-22	Strade Bianche
Men Elite	1.2 - 1 day - Class 2	France	6-Mar-22	Grand Prix de la Ville de Lillers Souvenir Bruno Comini
Men Elite	1.2 - 1 day - Class 2	Turkey	6-Mar-22	Grand Prix Mediterrennean
Women Elite	1.2 - 1 day - Class 2	Turkey	6-Mar-22	Grand Prix Mediterrennean
Men Elite	1.2 - 1 day - Class 2	Netherlands	6-Mar-22	Bloeizone Elfsteden Fryslan
Men Elite	1.1 - 1 day - Class 1	Belgium	6-Mar-22	Grote prijs Jean - Pierre Monseré
Men Elite	1.2 - 1 day - Class 2	Croatia	6-Mar-22	Trofej Poreč - Poreč Trophy
Men Elite	2.UWT - Stages - UCI WorldTour	France	06 Mar - 13 Mar 2022	Paris-Nice
Men Elite	2.UWT - Stages - UCI WorldTour	Italy	07 Mar - 13 Mar 2022	Tirreno-Adriatico
Women Elite	1.1 - 1 day - Class 1	Belgium	9-Mar-22	GP Oetingen
Men Elite	2.2 - Stages - Class 2	Croatia	10 Mar - 13 Mar 2022	Istarsko Proljeće - Istrian Spring Trophy
Women Elite	1.2 - 1 day - Class 2	Netherlands	11-Mar-22	Drentse Acht van Westerveld
Men Under 23	CN - National Championships	United Arab Emirates	11 Mar - 18 Mar 2022	National Road Championships - United Arab Emirates (IRR)
Men Junior	1.1 - 1 day - Class 1	Belgium	12-Mar-22	Danilith Nokere Koerse
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Netherlands	12-Mar-22	Miron Ronde van Drenthe
Men Elite	2.2 - Stages - Class 2	Greece	12 Mar - 13 Mar 2022	South Aegean Tour
