Date,Rank,Points,Rider,Team,Year,Race,UCI Class,Type,Code,Series,Race days,UCI Category,Classification
2-Sep-20,3,25,BENNETT Sam,QuickStep-AlphaVinyl,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
8-Sep-20,1,120,BENNETT Sam,QuickStep-AlphaVinyl,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
9-Sep-20,2,50,BENNETT Sam,QuickStep-AlphaVinyl,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
20-Sep-20,1,120,BENNETT Sam,QuickStep-AlphaVinyl,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 PC,WorldTour,,Tier 1,PC
20-Sep-20,1,120,BENNETT Sam,QuickStep-AlphaVinyl,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
14-Oct-20,8,50,BENNETT Sam,QuickStep-AlphaVinyl,2020,Scheldeprijs,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Oct-20,1,100,BENNETT Sam,QuickStep-AlphaVinyl,2020,La Vuelta ciclista a España,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
8-Nov-20,2,40,BENNETT Sam,QuickStep-AlphaVinyl,2020,La Vuelta ciclista a España,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
29-Feb-20,5,120,DECLERCQ Tim,QuickStep-AlphaVinyl,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
3-Mar-20,9,25,DECLERCQ Tim,QuickStep-AlphaVinyl,2020,Le Samyn,1.1,One Day,C1 GC,Other,1,1.1,GC
15-Mar-20,31,10,DECLERCQ Tim,QuickStep-AlphaVinyl,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
18-Oct-20,38,10,DECLERCQ Tim,QuickStep-AlphaVinyl,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Oct-20,2,250,DECLERCQ Tim,QuickStep-AlphaVinyl,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
26-Jan-20,12,60,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,Santos Tour Down Under,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
2-Feb-20,1,300,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,Cadel Evans Great Ocean Road Race,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
12-Aug-20,7,60,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,Gran Piemonte,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
30-Sep-20,36,8,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
7-Oct-20,10,35,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
18-Oct-20,57,3,DEVENYNS Dries,QuickStep-AlphaVinyl,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
28-Jan-20,1,20,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
28-Jan-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
29-Jan-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
31-Jan-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
1-Feb-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
2-Feb-20,1,200,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a San Juan Internacional,2.Pro,Stage Race,P GC,ProSeries,7,2.Pro,GC
20-Feb-20,1,20,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
20-Feb-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
21-Feb-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
22-Feb-20,3,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
22-Feb-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
23-Feb-20,1,200,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
23-Feb-20,1,20,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
30-Jul-20,1,20,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
30-Jul-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
31-Jul-20,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
1-Aug-20,1,200,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
1-Aug-20,3,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
8-Aug-20,1,50,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Tour de Pologne,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
8-Aug-20,1,8,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Tour de Pologne,2.UWT,Stage Race,Tier 4 SGC,WorldTour,,Tier 4,SGC
9-Aug-20,1,400,EVENEPOEL Remco,QuickStep-AlphaVinyl,2020,Tour de Pologne,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
2-Feb-20,53,2,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Cadel Evans Great Ocean Road Race,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
23-Feb-20,9,40,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
28-Jul-20,2,10,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
1-Aug-20,3,125,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Vuelta a Burgos,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
9-Aug-20,7,35,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Tour de l'Ain,2.1,Stage Race,C1 GC,Other,3,2.1,GC
18-Aug-20,2,150,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro dell'Emilia,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
1-Sep-20,1,2.33,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Settimana Internazionale Coppi e Bartali,2.1,Stage Race,C1 SC,Other,,2.1,SC
4-Sep-20,3,70,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Settimana Internazionale Coppi e Bartali,2.1,Stage Race,C1 GC,Other,5,2.1,GC
3-Oct-20,2,40,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
5-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
6-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
7-Oct-20,3,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
7-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
8-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
9-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
10-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
11-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
13-Oct-20,3,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
13-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
14-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
15-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
16-Oct-20,2,40,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
16-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
17-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
18-Oct-20,4,12,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
18-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
20-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
21-Oct-20,1,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
24-Oct-20,4,12,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
25-Oct-20,4,460,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
25-Oct-20,3,20,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 PC,WorldTour,,Tier 2,PC
25-Oct-20,4,12,GONÇALVES ALMEIDA Joao Pedro,QuickStep-AlphaVinyl,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
29-Feb-20,2,250,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
19-Sep-20,8,30,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,Okolo Slovenska / Tour de Slovaquie,2.1,Stage Race,C1 GC,Other,5,2.1,GC
3-Oct-20,4,220,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,7,150,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Oct-20,5,225,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Oct-20,1,300,LAMPAERT Yves,QuickStep-AlphaVinyl,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
29-Feb-20,10,50,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
3-Mar-20,5,50,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Le Samyn,1.1,One Day,C1 GC,Other,1,1.1,GC
8-Mar-20,7,35,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Grote prijs Jean-Pierre Monseré,1.1,One Day,C1 GC,Other,1,1.1,GC
15-Aug-20,4,100,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Dwars door het Hageland,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
19-Aug-20,4,100,SENECHAL Florian,QuickStep-AlphaVinyl,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
25-Aug-20,3,260,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
29-Aug-20,1,125,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Druivenkoers - Overijse,1.1,One Day,C1 GC,Other,1,1.1,GC
3-Oct-20,7,120,SENECHAL Florian,QuickStep-AlphaVinyl,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,2,400,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
14-Oct-20,30,5,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Scheldeprijs,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
18-Oct-20,12,60,SENECHAL Florian,QuickStep-AlphaVinyl,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Oct-20,17,20,SENECHAL Florian,QuickStep-AlphaVinyl,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
29-Feb-20,14,25,BENOOT Tiesj,Team DSM,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
8-Mar-20,3,10,BENOOT Tiesj,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
13-Mar-20,1,60,BENOOT Tiesj,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
14-Mar-20,2,25,BENOOT Tiesj,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
15-Mar-20,2,400,BENOOT Tiesj,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
8-Aug-20,20,30,BENOOT Tiesj,Team DSM,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
27-Sep-20,30,20,BENOOT Tiesj,Team DSM,2020,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
4-Oct-20,8,125,BENOOT Tiesj,Team DSM,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Oct-20,10,85,BENOOT Tiesj,Team DSM,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
15-Aug-20,2,150,EEKHOFF Nils,Team DSM,2020,Dwars door het Hageland,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Aug-20,2,75,EEKHOFF Nils,Team DSM,2020,National Road Championships - Netherlands,CN,Championships,CN ME RR,Other,1,CN,ME RR
25-Aug-20,7,120,EEKHOFF Nils,Team DSM,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
18-Oct-20,58,3,EEKHOFF Nils,Team DSM,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
26-Jan-20,18,30,HINDLEY Jai,Team DSM,2020,Santos Tour Down Under,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
2-Feb-20,34,5,HINDLEY Jai,Team DSM,2020,Cadel Evans Great Ocean Road Race,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
6-Feb-20,1,14,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 SC,Other,,2.1,SC
6-Feb-20,1,3,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
7-Feb-20,1,3,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
8-Feb-20,1,14,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 SC,Other,,2.1,SC
8-Feb-20,1,3,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
9-Feb-20,1,125,HINDLEY Jai,Team DSM,2020,Jayco Herald Sun Tour,2.1,Stage Race,C1 GC,Other,5,2.1,GC
29-Feb-20,28,12,HINDLEY Jai,Team DSM,2020,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
9-Aug-20,14,32,HINDLEY Jai,Team DSM,2020,Tour de Pologne,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
14-Sep-20,13,50,HINDLEY Jai,Team DSM,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
13-Oct-20,5,4,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
18-Oct-20,3,20,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
22-Oct-20,1,100,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
24-Oct-20,2,40,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
24-Oct-20,1,20,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
25-Oct-20,2,680,HINDLEY Jai,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
16-Aug-20,23,20,HIRSCHI Marc,Team DSM,2020,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
30-Aug-20,2,50,HIRSCHI Marc,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
6-Sep-20,3,25,HIRSCHI Marc,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
10-Sep-20,1,120,HIRSCHI Marc,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
20-Sep-20,54,15,HIRSCHI Marc,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 GC,WorldTour,21,Tier 1,GC
27-Sep-20,3,400,HIRSCHI Marc,Team DSM,2020,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
30-Sep-20,1,400,HIRSCHI Marc,Team DSM,2020,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
4-Oct-20,2,400,HIRSCHI Marc,Team DSM,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
14-Feb-20,2,10,KELDERMAN Wilco,Team DSM,2020,Tour de la Provence,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
16-Feb-20,5,85,KELDERMAN Wilco,Team DSM,2020,Tour de la Provence,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
29-Feb-20,6,115,KELDERMAN Wilco,Team DSM,2020,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
9-Aug-20,7,120,KELDERMAN Wilco,Team DSM,2020,Tour de Pologne,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
15-Aug-20,19,30,KELDERMAN Wilco,Team DSM,2020,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
9-Sep-20,3,10,KELDERMAN Wilco,Team DSM,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
14-Sep-20,4,275,KELDERMAN Wilco,Team DSM,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
5-Oct-20,4,12,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
7-Oct-20,4,12,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
18-Oct-20,2,40,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
22-Oct-20,5,4,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
22-Oct-20,1,20,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
23-Oct-20,1,20,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SGC,WorldTour,,Tier 2,SGC
25-Oct-20,3,575,KELDERMAN Wilco,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
29-Feb-20,3,215,KRAGH ANDERSEN Søren,Team DSM,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
11-Mar-20,1,60,KRAGH ANDERSEN Søren,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
15-Mar-20,10,85,KRAGH ANDERSEN Søren,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
8-Aug-20,57,3,KRAGH ANDERSEN Søren,Team DSM,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
10-Sep-20,3,25,KRAGH ANDERSEN Søren,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
12-Sep-20,1,120,KRAGH ANDERSEN Søren,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
18-Sep-20,1,120,KRAGH ANDERSEN Søren,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
20-Sep-20,58,10,KRAGH ANDERSEN Søren,Team DSM,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 GC,WorldTour,21,Tier 1,GC
2-Oct-20,1,50,KRAGH ANDERSEN Søren,Team DSM,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
3-Oct-20,2,320,KRAGH ANDERSEN Søren,Team DSM,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
13-Mar-20,2,25,MATTHEWS Michael,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
15-Mar-20,26,20,MATTHEWS Michael,Team DSM,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
8-Aug-20,3,325,MATTHEWS Michael,Team DSM,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
25-Aug-20,1,400,MATTHEWS Michael,Team DSM,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
14-Sep-20,54,5,MATTHEWS Michael,Team DSM,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
27-Sep-20,7,175,MATTHEWS Michael,Team DSM,2020,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
4-Oct-20,4,12,MATTHEWS Michael,Team DSM,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
